tau,agent,estimate
0.0533669923120631,A5,0.2396347945788853
0.0533669923120631,A5,0.23944572557014637
0.0533669923120631,A5,0.23953431572996636
0.0533669923120631,A5,0.23981290700371383
0.0533669923120631,A5,0.23951653656631572
0.0533669923120631,A5,0.2393870769650447
0.0533669923120631,A6,0.19072739143812645
0.0533669923120631,A6,0.19088932779468015
0.0533669923120631,A6,0.19090060105014262
0.0533669923120631,A6,0.19109213950096213
0.0533669923120631,A6,0.19075599828466938
0.0533669923120631,A6,0.19095152221560754
0.0533669923120631,A6,0.19087992122941408
0.0533669923120631,A6,0.1909142805316051
0.0533669923120631,A6,0.19098761698490946
0.0533669923120631,A6,0.19097782862369878
0.0533669923120631,A6,0.19092996584241895
0.0533669923120631,A6,0.1908527774715601
0.0533669923120631,A6,0.19085940818431235
0.0533669923120631,A6,0.191105818500402
0.0533669923120631,A6,0.19084815217317266
0.0533669923120631,A6,0.1909910418452084
0.0533669923120631,A6,0.19091588931750647
0.0533669923120631,A6,0.19097169884694598
0.0533669923120631,A6,0.1910085216152118
0.0533669923120631,A6,0.19103969848875627
0.0533669923120631,A6,0.19094311900204042
0.0533669923120631,A6,0.19084009605963403
0.0533669923120631,A6,0.19096896011422407
0.0533669923120631,A6,0.19083080181979212
0.0533669923120631,A6,0.19089376523311263
0.0533669923120631,A6,0.19078943529137893
0.0533669923120631,A6,0.19086984856516415
0.0533669923120631,A6,0.19092614822315523
0.0533669923120631,A6,0.19093329215936697
0.0533669923120631,A6,0.1910041387481645
0.0533669923120631,A6,0.19090069350009745
0.0533669923120631,A6,0.19102616308595
0.0533669923120631,A6,0.19090475523598147
0.0533669923120631,A6,0.1909775242548355
0.0533669923120631,A6,0.19088804013994204
0.0533669923120631,A6,0.19105266597508952
0.0533669923120631,A6,0.19103317923888505
0.0533669923120631,A6,0.19084757007668895
0.0533669923120631,A6,0.1911456778472902
0.0533669923120631,A6,0.19102378035079282
0.12328467394420659,A1,0.9878920696627488
0.12328467394420659,A1,0.9950608641802262
0.12328467394420659,A1,0.9891781470995658
